"uid","scenario_id","domain","n_agents","content_passed","content_total","prov_passed","prov_total","checks_passed","checks_total","checks_frac","success","reveals","decisive_revealed","decisive_total","settled","turns_used","turns_to_settle","routing_precision","routing_hits","routing_opportunities","route_invalid","forced_routes","route_decisions","insight_private_leak_max","insight_slot_frac","train_reward","route_reward","route_sequence","wall_time","eval_group"
"0","evacuation_west_city","evacuation_shelter","5","1","1","0","4","1","5","0.2","0","4","4","4","1","6","6","1.0","4","4","0","2","0","0.0","1.0","0.54","0.74","A2|A3|A4|A5|A1|A1","1077.5","unseen"
"1","evacuation_north_hill","evacuation_shelter","5","1","1","2","4","3","5","0.6","0","4","4","4","1","5","5","1.0","4","4","0","1","0","0.0","1.0","0.75","0.95","A4|A2|A3|A5|A1","1077.5","unseen"
"2","evacuation_east_town","evacuation_shelter","5","1","1","1","4","2","5","0.4","0","4","4","4","1","5","5","1.0","4","4","0","1","0","0.0","1.0","0.7","0.9","A4|A2|A5|A3|A1","1077.5","unseen"
"3","toma_butera_2009","literature_replication","4","1","1","0","3","1","4","0.25","0","3","3","3","1","4","4","1.0","3","3","0","1","0","0.0","1.0","0.65","0.8","A2|A3|A4|A1","1077.5","unseen"
"4","baker_2010","literature_replication","5","0","1","4","4","4","5","0.8","0","4","4","4","1","5","5","1.0","4","4","0","1","0","0.0526","0.0","0.35","0.55","A2|A3|A4|A5|A1","1077.5","unseen"
"5","schulz_hardt_mojzisch_2012","literature_replication","4","1","1","0","3","1","4","0.25","0","3","3","3","1","5","5","1.0","3","3","0","2","0","0.0","1.0","0.54","0.69","A2|A3|A4|A1|A1","1077.5","unseen"
"6","graetz_et_al_1998","literature_replication","5","1","1","1","4","2","5","0.4","0","4","4","4","1","5","5","1.0","4","4","0","1","0","0.0","0.0","0.7","0.9","A2|A3|A4|A5|A1","1077.5","unseen"
"7","Stasser_Stewart_1992","literature_replication","4","0","1","1","3","1","4","0.25","0","3","3","3","1","4","4","1.0","3","3","0","1","0","0.0","1.0","0.2167","0.3667","A3|A4|A2|A1","1077.5","unseen"
"8","critical_hospital_transfer","logistics_delivery","5","1","1","0","4","1","5","0.2","0","4","4","4","1","5","5","1.0","4","4","0","1","0","0.0","1.0","0.65","0.85","A3|A4|A5|A2|A1","1077.5","unseen"
"9","emergency_supply_drop","evacuation_shelter","5","0","1","1","4","1","5","0.2","0","4","4","4","1","6","6","1.0","4","4","0","2","0","0.0","1.0","0.09","0.29","A4|A3|A2|A5|A1|A1","1077.5","unseen"
"10","emergency_conference_relocation","evacuation_shelter","5","1","1","1","4","2","5","0.4","0","4","4","4","1","5","5","1.0","4","4","0","1","0","0.0","1.0","0.7","0.9","A4|A3|A2|A5|A1","1077.5","unseen"
"11","evacuate_park_dilemma","evacuation_shelter","5","1","1","1","4","2","5","0.4","0","4","4","4","1","5","5","1.0","4","4","0","1","0","0.0","1.0","0.7","0.9","A3|A2|A4|A5|A1","1077.5","unseen"
