group,domain,n,metric,higher_is_better,baseline,arm,baseline_mean,arm_mean,delta,ci_lo,ci_hi,p
unseen,deduction_mystery,8,checks_frac,True,vanilla,coevolved,0.075,0.325,0.25,0.125,0.35,0.0
unseen,deduction_mystery,8,checks_passed,True,vanilla,coevolved,0.375,1.625,1.25,0.625,1.75,0.0
unseen,deduction_mystery,8,success,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,deduction_mystery,8,content_passed,True,vanilla,coevolved,0.25,0.875,0.625,0.25,0.875,0.0005
unseen,deduction_mystery,8,prov_passed,True,vanilla,coevolved,0.125,0.75,0.625,0.25,1.125,0.0145
unseen,deduction_mystery,8,reveals,True,vanilla,coevolved,1.375,4.0,2.625,1.625,3.625,0.0
unseen,deduction_mystery,8,decisive_revealed,True,vanilla,coevolved,1.375,4.0,2.625,1.625,3.625,0.0
unseen,deduction_mystery,8,settled,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,deduction_mystery,8,turns_to_settle,False,vanilla,coevolved,2.625,5.75,3.125,1.625,4.625,0.0
unseen,deduction_mystery,8,turns_used,False,vanilla,coevolved,2.625,5.75,3.125,1.625,4.625,0.0
unseen,deduction_mystery,8,routing_precision,True,vanilla,coevolved,0.391662,1.0,0.608337,0.370838,0.858337,0.0
unseen,deduction_mystery,8,route_invalid,False,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,deduction_mystery,8,insight_private_leak_max,False,vanilla,coevolved,0.047125,0.020025,-0.0271,-0.0542,-0.008337,0.0365
unseen,deduction_mystery,8,insight_slot_frac,True,vanilla,coevolved,1.0,0.875,-0.125,-0.375,0.0,0.6285
unseen,deduction_mystery,8,train_reward,True,vanilla,coevolved,0.156562,0.5425,0.385938,0.14875,0.581562,0.0
unseen,deduction_mystery,8,content_total,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,deduction_mystery,8,prov_total,True,vanilla,coevolved,4.0,4.0,0.0,0.0,0.0,1.0
unseen,deduction_mystery,8,checks_total,True,vanilla,coevolved,5.0,5.0,0.0,0.0,0.0,1.0
unseen,deduction_mystery,8,decisive_total,True,vanilla,coevolved,4.0,4.0,0.0,0.0,0.0,1.0
unseen,deduction_mystery,8,routing_hits,True,vanilla,coevolved,1.375,4.0,2.625,1.625,3.625,0.0
unseen,deduction_mystery,8,routing_opportunities,True,vanilla,coevolved,2.375,4.0,1.625,0.625,2.5,0.001
unseen,deduction_mystery,8,forced_routes,False,vanilla,coevolved,0.25,1.75,1.5,0.875,2.25,0.0
unseen,deduction_mystery,8,route_decisions,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,deduction_mystery,8,route_reward,True,vanilla,coevolved,0.225312,0.7425,0.517188,0.24875,0.734375,0.0
unseen,deduction_mystery,8,wall_time,False,vanilla,coevolved,467.5875,843.85,376.2625,292.9875,460.8,0.0
unseen,evacuation_shelter,31,checks_frac,True,vanilla,coevolved,0.045161,0.254839,0.209677,0.13871,0.274194,0.0
unseen,evacuation_shelter,31,checks_passed,True,vanilla,coevolved,0.225806,1.258065,1.032258,0.677419,1.354839,0.0
unseen,evacuation_shelter,31,success,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,content_passed,True,vanilla,coevolved,0.16129,0.806452,0.645161,0.451613,0.806452,0.0
unseen,evacuation_shelter,31,prov_passed,True,vanilla,coevolved,0.064516,0.451613,0.387097,0.096774,0.677419,0.014
unseen,evacuation_shelter,31,reveals,True,vanilla,coevolved,0.935484,3.967742,3.032258,2.483871,3.548387,0.0
unseen,evacuation_shelter,31,decisive_revealed,True,vanilla,coevolved,0.935484,3.967742,3.032258,2.483871,3.548387,0.0
unseen,evacuation_shelter,31,settled,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,turns_to_settle,False,vanilla,coevolved,2.645161,5.516129,2.870968,1.870968,3.83871,0.0
unseen,evacuation_shelter,31,turns_used,False,vanilla,coevolved,2.645161,5.516129,2.870968,1.870968,3.83871,0.0
unseen,evacuation_shelter,31,routing_precision,True,vanilla,coevolved,0.207061,1.0,0.792939,0.685106,0.891245,0.0
unseen,evacuation_shelter,31,route_invalid,False,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,insight_private_leak_max,False,vanilla,coevolved,0.033135,0.012097,-0.021039,-0.03789,-0.006674,0.009
unseen,evacuation_shelter,31,insight_slot_frac,True,vanilla,coevolved,1.0,0.935484,-0.064516,-0.16129,0.0,0.2575
unseen,evacuation_shelter,31,train_reward,True,vanilla,coevolved,0.048629,0.5257,0.477071,0.382903,0.564677,0.0
unseen,evacuation_shelter,31,content_total,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,prov_total,True,vanilla,coevolved,3.967742,3.967742,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,checks_total,True,vanilla,coevolved,4.967742,4.967742,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,decisive_total,True,vanilla,coevolved,3.967742,3.967742,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,routing_hits,True,vanilla,coevolved,0.935484,3.967742,3.032258,2.483871,3.548387,0.0
unseen,evacuation_shelter,31,routing_opportunities,True,vanilla,coevolved,2.290323,3.967742,1.677419,0.967742,2.387097,0.0
unseen,evacuation_shelter,31,forced_routes,False,vanilla,coevolved,0.354839,1.548387,1.193548,0.709677,1.741935,0.0
unseen,evacuation_shelter,31,route_decisions,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,route_reward,True,vanilla,coevolved,0.095403,0.724087,0.628684,0.518335,0.729787,0.0
unseen,evacuation_shelter,31,wall_time,False,vanilla,coevolved,526.316129,941.448387,415.132258,381.919355,442.809677,0.0
unseen,literature_replication,5,checks_frac,True,vanilla,coevolved,0.0,0.39,0.39,0.25,0.61,0.001
unseen,literature_replication,5,checks_passed,True,vanilla,coevolved,0.0,1.8,1.8,1.0,3.0,0.0025
unseen,literature_replication,5,success,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,literature_replication,5,content_passed,True,vanilla,coevolved,0.0,0.6,0.6,0.2,1.0,0.01
unseen,literature_replication,5,prov_passed,True,vanilla,coevolved,0.0,1.2,1.2,0.2,2.6,0.073
unseen,literature_replication,5,reveals,True,vanilla,coevolved,0.0,3.4,3.4,3.0,3.8,0.0
unseen,literature_replication,5,decisive_revealed,True,vanilla,coevolved,0.0,3.4,3.4,3.0,3.8,0.0
unseen,literature_replication,5,settled,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
