arm,group,n,metric,mean
vanilla,unseen,65,checks_frac,0.067692
coevolved,unseen,65,checks_frac,0.296154
vanilla,total,65,checks_frac,0.067692
coevolved,total,65,checks_frac,0.296154
vanilla,unseen,65,checks_passed,0.338462
coevolved,unseen,65,checks_passed,1.446154
vanilla,total,65,checks_passed,0.338462
coevolved,total,65,checks_passed,1.446154
vanilla,unseen,65,success,0.0
coevolved,unseen,65,success,0.0
vanilla,total,65,success,0.0
coevolved,total,65,success,0.0
vanilla,unseen,65,content_passed,0.246154
coevolved,unseen,65,content_passed,0.8
vanilla,total,65,content_passed,0.246154
coevolved,total,65,content_passed,0.8
vanilla,unseen,65,prov_passed,0.092308
coevolved,unseen,65,prov_passed,0.646154
vanilla,total,65,prov_passed,0.092308
coevolved,total,65,prov_passed,0.646154
vanilla,unseen,65,reveals,1.046154
coevolved,unseen,65,reveals,3.892308
vanilla,total,65,reveals,1.046154
coevolved,total,65,reveals,3.892308
vanilla,unseen,65,decisive_revealed,1.046154
coevolved,unseen,65,decisive_revealed,3.892308
vanilla,total,65,decisive_revealed,1.046154
coevolved,total,65,decisive_revealed,3.892308
vanilla,unseen,65,settled,1.0
coevolved,unseen,65,settled,1.0
vanilla,total,65,settled,1.0
coevolved,total,65,settled,1.0
vanilla,unseen,65,turns_to_settle,2.815385
coevolved,unseen,65,turns_to_settle,5.461538
vanilla,total,65,turns_to_settle,2.815385
coevolved,total,65,turns_to_settle,5.461538
vanilla,unseen,65,turns_used,2.815385
coevolved,unseen,65,turns_used,5.461538
vanilla,total,65,turns_used,2.815385
coevolved,total,65,turns_used,5.461538
vanilla,unseen,65,routing_precision,0.220398
coevolved,unseen,65,routing_precision,1.0
vanilla,total,65,routing_precision,0.220398
coevolved,total,65,routing_precision,1.0
vanilla,unseen,65,route_invalid,0.0
coevolved,unseen,65,route_invalid,0.0
vanilla,total,65,route_invalid,0.0
coevolved,total,65,route_invalid,0.0
vanilla,unseen,65,insight_private_leak_max,0.035771
coevolved,unseen,65,insight_private_leak_max,0.018658
vanilla,total,65,insight_private_leak_max,0.035771
coevolved,total,65,insight_private_leak_max,0.018658
vanilla,unseen,65,insight_slot_frac,0.984615
coevolved,unseen,65,insight_slot_frac,0.923077
vanilla,total,65,insight_slot_frac,0.984615
coevolved,total,65,insight_slot_frac,0.923077
vanilla,unseen,65,train_reward,0.091846
coevolved,unseen,65,train_reward,0.528155
vanilla,total,65,train_reward,0.091846
coevolved,total,65,train_reward,0.528155
