group,n,metric,baseline,arm,baseline_mean,arm_mean,delta,ci_lo,ci_hi,p,higher_is_better
unseen,65,checks_frac,vanilla,coevolved,0.067692,0.296154,0.228462,0.174615,0.283846,0.0,True
unseen,65,checks_passed,vanilla,coevolved,0.338462,1.446154,1.107692,0.830769,1.384615,0.0,True
unseen,65,success,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0,True
unseen,65,content_passed,vanilla,coevolved,0.246154,0.8,0.553846,0.430769,0.676923,0.0,True
unseen,65,prov_passed,vanilla,coevolved,0.092308,0.646154,0.553846,0.307692,0.830769,0.0,True
unseen,65,reveals,vanilla,coevolved,1.046154,3.892308,2.846154,2.476923,3.230769,0.0,True
unseen,65,decisive_revealed,vanilla,coevolved,1.046154,3.892308,2.846154,2.476923,3.230769,0.0,True
unseen,65,settled,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0,True
unseen,65,turns_to_settle,vanilla,coevolved,2.815385,5.461538,2.646154,1.969231,3.353846,0.0,False
unseen,65,turns_used,vanilla,coevolved,2.815385,5.461538,2.646154,1.969231,3.353846,0.0,False
unseen,65,routing_precision,vanilla,coevolved,0.220398,1.0,0.779602,0.704071,0.85176,0.0,True
unseen,65,route_invalid,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0,False
unseen,65,insight_private_leak_max,vanilla,coevolved,0.035771,0.018658,-0.017112,-0.031477,-0.002549,0.0215,False
unseen,65,insight_slot_frac,vanilla,coevolved,0.984615,0.923077,-0.061538,-0.123077,-0.015385,0.056,True
unseen,65,train_reward,vanilla,coevolved,0.091846,0.528155,0.436309,0.369528,0.498348,0.0,True
total,65,checks_frac,vanilla,coevolved,0.067692,0.296154,0.228462,0.174615,0.283846,0.0,True
total,65,checks_passed,vanilla,coevolved,0.338462,1.446154,1.107692,0.830769,1.384615,0.0,True
total,65,success,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0,True
total,65,content_passed,vanilla,coevolved,0.246154,0.8,0.553846,0.430769,0.676923,0.0,True
total,65,prov_passed,vanilla,coevolved,0.092308,0.646154,0.553846,0.307692,0.830769,0.0,True
total,65,reveals,vanilla,coevolved,1.046154,3.892308,2.846154,2.476923,3.230769,0.0,True
total,65,decisive_revealed,vanilla,coevolved,1.046154,3.892308,2.846154,2.476923,3.230769,0.0,True
total,65,settled,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0,True
total,65,turns_to_settle,vanilla,coevolved,2.815385,5.461538,2.646154,1.969231,3.353846,0.0,False
total,65,turns_used,vanilla,coevolved,2.815385,5.461538,2.646154,1.969231,3.353846,0.0,False
total,65,routing_precision,vanilla,coevolved,0.220398,1.0,0.779602,0.704071,0.85176,0.0,True
total,65,route_invalid,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0,False
total,65,insight_private_leak_max,vanilla,coevolved,0.035771,0.018658,-0.017112,-0.031477,-0.002549,0.0215,False
total,65,insight_slot_frac,vanilla,coevolved,0.984615,0.923077,-0.061538,-0.123077,-0.015385,0.056,True
total,65,train_reward,vanilla,coevolved,0.091846,0.528155,0.436309,0.369528,0.498348,0.0,True
